8인실로 예약 가능한가요?	8인실은 예약 가능해요
확인되셨고, 1인실 맞으시죠?	체크인은 3시부터라 좀 기다리셔야 할 거 같아요
지인 분께 선물하려고 하는데 크림 종류로 탄력크림 종류로 있으면 좀 보여주세요	탄력크림은 유세린 거 여러 종류 있어요
치킨무 1개 더 추가하면 추가금액이 얼마에요?	개당 500원입니다
시간 언제쯤 전화드리면 되죠?	편하실 때 전화하시면 됩니다
뭐가 제일 맛있어예?	다 맛있어요
얼마죠?	만 원입니다
지금 종류가 어떤 게 있나요?	종류는 기초적인 거 다 있어요 콤비네이션 불고기 포테이토 고구마 고구마무스
욕실용품은 어떤 게 제공되나요?	칫솔 치약 빼고는 다 제공되요
우리 고로케 한 개 더 주세요	육천 원입니다
얼큰라면 이런 거는 돼지고기는 안 들어가요?	다 들어가요 사진에 있는 그대로입니다
결제는 이따가 같이 해도 되는 거죠?	그러세요
어떤 종류 스파클링 말씀하시나요?	망고들어간거요
카드 결제되나요?	카드 가능하세요
대실 시간은 몇 시간이죠?	대실 사용시간은 4시간이에요
혹시 여기 와이파이는 설치가 되어있나요?	와이파이가 설치되어 있습니다
요거는 얼마 정도 해요?	오십 프로 세일해서 십팔만 오천 원이요
체격 크세요?	조금 크기는 한데
몇 인분 필요하세요.	총 4명의 가족이 먹을 건데요.
네, 텀블러에 담아주실 수 있나요?	그럼요.
한방 들어가 있는 게 좋아요?	한방 조금 들어간 제품으로 6만2천 원, 6만3천 원, 6만6천 원이 있어요
영수증 필요하신가요?	방 열쇠 드릴게요
온돌방 3인 하루 숙박 맞으시죠?	여기 열쇠 있어요
세일하시는가요?	세일은 겨울 부츠만 10프로 하고 있고요 세일은 안 해요
혹시 자리 예약 가능한가요?	자리 예약은 10분 안에 오셔야 가능하세요
다른 방법이 없나요	커플석 좌석이 생기면 옮겨드릴게요
커가 줄여 입는 사람은 있어도 늘리는 사람은 잘 없죠?	많이 늘리는 경우는 적습니다
아이보리 제품은 어디있어요?	그 제품은 저기 있어요
두 가지 다 신어봐도 되나요?	준비해드릴게요
요 신발은 사이즈 작은거 있어요?	더 작은 사이즈는 주문해야해요
소재가 뭔가요?	24k 금입니다
오렌지 있어요?	싱싱한 오렌지 있어요.
로퍼 종류는 어디있나요	매대에 보시면 있습니다
저희 가게 회원카드 있으세요?	저 이 가게 회원카드 없어요
하루씩은 얼마에요?	하루는 7천 원입니다
A 로봇으로 예약해 주실래요?	A 로봇 이름으로 A 사이트 예약되셨습니다
세트 메뉴중에 로제 파스타 변경 할 수 있나요?	같은 가격대로 고르시거나 추가금 내시면 가능합니다
음료 받아서 올라가야되나요?	올라가 계시면 갖다 드릴게요
거기 성화루 맞죠?	맞습니다
고등학교 1학년인데예 간식으로 뭐 어떤거 잘 나가예?	간장하고 후라이드로 된 거 순살 뼈 다 잘나가요 치토스도 잘 나가고요
양파가 햇양파에요?	햇양파에요
요일별 특선?	특선메뉴는 평일에만 있고 주말에는 없어요
사이즈가 어떻게 되죠?	좀 작은데요
연유랑 커피가 잘 어울려요?	원래 스페인가면 사람들이 에스프레소에 연유만 뿌려서 먹거든요
연방을 하면 할인이 가능한가요?	2박 이상 시에 1박마다 10퍼센트의 할인이 들어가요
이거는 선 블록 기능은 별로 없는 거예요?	그건 SPF30이고 선 블록 기능 들어가 있는 거는 SPF50이에요
한 시간에 얼마죠?	1000원입니다
윙도 하나 갖다 주세요	윙도 추가해드릴께요
음 실내복 이런 건 한 벌에 얼마씩 해요?	그거는 65,000원까지 있습니다
카드 결제돼요?	카드 결제됩니다
어떤 쪽이 더 좋아요, 피부에는?	피부에는 이 제품이 더 좋아요. 기능성이라서요
여기 근처에 마트 있나요?	차 타고 5분 정도 가면 있어요
네 더 필요한 건 없으세요?	없습니다
우동 홍합 빼고도 가능해요?	가능합니다
어떤 방들이 있나요?	특실과 일반실이 있어요
배달은 안되죠?	배달은 안되고 포장만 가능해요
작은 건 얼마에요?	작은 건 오만팔천 원이에요.
여기 모텔 대실 얼마에요?	대실은 3만 원이에요
주차장은 어떻게 되어있나요?	저희 건물 지하주차장에 주차하시면 무료입니다
지금 배달 가능한가요?	가능합니다
메뉴판은 저기 있는 거 보면 되나요?	맞아요
여기 몇 시까지 영업하나요?	밤 9시까지 영업합니다
네, 예약하시는게 좋은데 매직하고 밑에는요?	전에 열펌을 했었거든요
아이크림이 눈가 주름에 사용하는 크림인가요?	여자분들 눈가 주름 엄청 신경 쓰시는데 아이크림 좋아하실 거예요
어떻게 불편하신가요?	어제저녁에 고기를 먹고 그 뒤로 체한 것 같아요
불고기 피자치킨셋트에 후라이드 치킨으로 오는 건가요	맞습니다
이 티셔츠 L 사이즈 있나요?	여기 있습니다
양념게장은 어떻게 파나요	한팩에 15000원입니다
휴게실이 밖에 있나요?	휴게실은 밖에 있습니다
날짜는 언제로 해드릴까요?	이번 주 토요일, 일요일 1박 2일로 예약 부탁드립니다
화장품 추천 좀 해주세요	어떤 화장품을 찾으시나요?
텐트 대여는 얼마인가요?	60000원이에요
사람이 많네요 자리 있나요?	한자리 있습니다
결제 비자카드도 됩니까?	여기 서명 부탁드려요
요 니트 가디건은 얼마예요?	가디건은 육만 구천 원이에요
데리야키는 어떤 거라예?	데리야키는 치즈 밥버거에 양배추 데리야키소스 계란 들어가는 겁니다
이거 얼마예요?	이만 육천 원이에요
이거 검정은 어떻게 해요?	8만 9천 원이요
사장님, 여기 탈모 케어 서비스도 해요?	탈모 케어 가능합니다
조금 자르고 씨컬 파마 할 수 있을까요?	씨컬 파마 가능합니다
이런 청바지는 얼마인가요?	그 청바지는 사만 이천 원이에요
카키색으로 하면 얼마인데요?	머리 색깔이 밝은 사람은 두 번만 해도 되고 탈색 가격만 해도 비싸요
이제 레몬은 안 파시는 거에요?	아니에요, 레몬도 있으면 갖다 놓을께요.
그러면 혹시 여기 찜닭은 안 하죠?	저희는 찜닭 메뉴는 없습니다
드시고 가시나요?	포장이요
이거 동글동글한 거 두 줄짜리는 18케이에요?	맞아요
배달도 해주시나요?	배달도 해드려요.
생으로 드실건가요 아니면 양념해서 드실건가요?	생으로 구워서 소금 찍어 먹으려구요
회원가입을 해야지 이용할 수 있나요?	비회원으로도 가능해요
네 혹시 첫 방문이신가요?	결제는 선불이고 후에 시간 추가 가능합니다
앙버터가 뭐예요?	빵 안에 버터하고 팥앙금이 같이 들어간 빵이에요
정장은 많이 못 줄이는데 괜찮으신가요?	정장을 그렇다고 많이 줄이지는 않고 삼 센치정도 줄일거에요
빨간색, 자주색 ?	오렌지색이에요
파티룸 있나요?	파티룸 있어요
네 그것도 한번 보여주세요	잠시만 기다려주세요
브레이크 타임은?	브레이크 타임은 세 시부터 다섯 시까지예요
이것도 하나 살게요	자리 잡으시고 메시지 보내주시면 갖다 드리겠습니다
기침은 없으시나요?	이거 물약이랑 알약같이 드시면 되고 하루 3번 아침 점심 저녁 식후 30분 후에 드시면 되니다
대실 하시나요?	숙박합니다
매운 거 잘 드세요?	잘 먹어요
검은색으로는 없나요	그 제품은 갈색만 준비되어있습니다
만약에 롱 코트를 자르면 안 이상해요?	경우에 따라 다르기 때문에 정확하게 말씀드릴 수 없습니다
요즘 무슨 과일이 제철이에요?	요즘은 귤이랑 딸기가 제일 맛있어요.
정수물 드릴까요?	조금만 주세요
네 쿠폰 사용 하려고 하는데요	알겠습니다
급하게 가야 돼가지고 포장되는가요?	포장해드릴게요
선물은 특별히 생각하고 오신 거 있으세요?	아니요, 추천해 주세요
찌갯거리 얼마나 드릴까요?	오천원어치, 찌갯거리 여기 있어요
결혼식 참석할 때 할만한 귀걸이 추천해주세요	고객님 이 진주 귀걸이는 어떠신가요?
블루베리 주스 한 잔 주세요	블루베리 주스 준비해드리겠습니다
이거 많이 파여 있죠?	앞에 많이 안 파여요
지금 pc 자리 있나요?	자리 있습니다
예쁘게 해주세요	알겠습니다
이 제품은 어떤 타입인가요?	이번에 나온 신상인데 수분은 날아가지 않게 잡아주면서 유분기를 잡아주는 제품이에요
오리털파카 드라이는 얼마정도 받아요?	길이에 상관없이 보통 7천 원 받습니다
돼지고기 등심 한 근에 얼마죠?	돼지고기 등심 한 근에 만 원이에요
사과는 한 박스에 얼마에요?	사과는 한 박스에 사만오천 원이에요.
시계 가격이 어떻게 되나요?	원래 15만원인데 20%세일해서 12만원입니다
이 신발 가격 세일은?	이거는 들어온지 얼마 안되어서 세일은 하지 않아요
사골거리 있어요?	사골도 있고 우족도 있어요
이거 패딩이잖아? 그죠?	맞아요
차는 요 앞에 잠깐 세워놔도 돼요?	저녁에는요
차는 어디다 세우고 와요?	골목 뒤에 알아서 대셔야해요
어제 예약 전화 드렸었는데요	김기동 고객님 이쪽으로 오세요
어떤 크기를 찾으세요?	이정도 크기면 딱 좋네요
귀를 따로 뚫어주거나 그렇지는 않죠?	액세서리 전문점이 아니라서요
약간 산미 나는 걸로 한 잔 주실래요?	가지고 가시면 2000원이에요
어디세요?	아 서구청 평리중학교 부근이거든예
이거는 뭐죠?	이건 샐러드예요
아니요 포장하고 싶은데 얼마나 기다려야 하나요?	15분 정도 소요될 것 같습니다
이거처럼 발이 좁아 보이는 건?	좁아보이는 건 이런 거뿐이에요
여기 캠프파이어 장소가 어디인가요?	중앙 화장실 옆에 있어요
그럼 안살래요	알겠습니다
스타크래프트 가능한 자리죠?	아뇨 그 자리 스타크래프트 안돼요
등뼈 팔킬로 하면 얼마인데요?	등뼈, 팔킬로 하면 만이천원이에요
교복도 줄일수 있나요?	교복도 줄여드립니다
흡연 가능한가요?	실내에서는 불가능하고, 바로 옆에 흡연실이 따로 있습니다
김치 조금만 주세요	김치도 있습니다
그럼 샌드위치는 몇개 남아있나요?	샌드위치는 세개 남아있습니다
더블 치즈버거 세트를 콜라 말고 커피로 바꿀 수 있을까요?	가능하지만 500원의 추가 요금이 발생합니다
어떤 용도로 사용하실건가요?	실내 배드민턴 전용 운동화를 구매하고 싶어서요
몇 명이신가요?	사용하실 온돌방 있어요
약밥은 얼마씩 해요?	약밥은 서른여섯 개에 삼만 구천원이에요
제가 운전을 좀 많이 해야 하는 직업이라 졸리면 좀 곤란한데 졸린약만 빼고 먹어도 될까요?	졸린약이 진통제 성분이라 안드시면 수술 부위에 통증을 좀 느끼실 수도 있어요
애기시트 하나 놔 주실 수 있나요?	애기시트 같이 준비해 드릴께요
경성역 다방커피는 어떤 거예요?	경성역 다방커피는 연유커피입니다
더치는 아메리카노랑 비슷한가요?	아메리카노보다는 조금 연해요
이거 올리브 트위스트는 무슨 맛이에요?	올리브 트위스트는 카푸치노랑 커피 맛이 나요
포켓볼 이용 요금은 얼마에요?	삼구랑 사구는 10분에 1300원이고 포켓볼은 1600원이에요
식당은 대인 같은 경우에는 금액이 어떻게 되나요?	식사가 콩나물 전문점이라 연령에 따라서 금액이 매겨지지는 않고, 메뉴 기본이 육천 원부터 시작이에요
쿠폰제 운용하네요?	저희도 쿠폰제 운용해요
바지 찾으세요?	상의를 찾고 있어요
아 네 그럼 따님이 20대 초인 가요?	대학교 2학년이에요
바세린 바르면 괜찮겠죠?	어느정도 괜찮을 것 같아요
불고기 버거 세트로는 얼마에요?	4500원입니다
곡물은 어떤 곡물을 써요?	허브가 들어간 곡물염색인데 물만 섞어쓰는 천연염색이죠
이번 겨울 신상 코트는 어느 쪽에 있나요?	신제품들은 모두 이쪽에 진열되어있습니다
네 카페라떼 컵 사이즈는 뭘로 드릴까요?	그럼 카페라떼 톨 사이즈로 드리겠습니다
요금은 10분에 얼마정도 합니까?	1300원에서 1500원이에요
옛날토스트에는 양상추 들어가요?	아뇨 양배추하고 햄 계란이 들어갑니다
여기 혹시 무이자는 되는가요?	무이자는 신한과 현대카드 돼요
그럼 그걸로 한잔 주시겠어요	금방 준비해드릴게요
나오는 데는 시간이 얼마쯤 걸려요?	조금만 앉아계세요
카페 모카는 어떤거에요	초코가 들어가는거에요
반찬 몇 가지 종류 있어요?	많이 있어요
내의 있나요?	내의 있어요
계산 좀 해주세요	잠시만요
그거는 가격대가 비싸죠?	4만 원이요
여기가 체인점입니까?	맞아요
회원가랑 비회원가랑 가격 차이는 있는건가요?	조금 차이 있습니다
오늘 날짜로 예약했는데, 확인 좀 부탁드려도 될까요?	방은 내 해드릴게요
이거 35 없나요?	많이 나갔어요
안약 얼마에요?	7000원 입니다.
인기 있는 반찬은 뭐예요?	멸치볶음하고 오징어 젓갈이 인기 있어요
카드 결제 가능한가요?	카드 결제 가능하십니다
혹시 이용시간 알 수 있을까요?	저희 PC방은 24시간 운영합니다
오늘 숙박 가능한가요?	예약 하지 않아도 이용 가능하세요
돼지고기, 어떤 게 맛있어요?	돼지고기는 다 맛있어요
브라운 컬러 펜슬 주세요	계산 도와드릴게요
와이파이 비밀번호가 어떻게 되죠?	핸드폰 주시면 제가 잡아드릴게요
송편 많이 하죠 제사 지낼라고 하면 몇팩 사야 해요	한접시에 놓으려고 하면 두 팩만 사면 돼요
몇 % 할인 됐노?	40에서 50%요
이천 원은 안돼요?	할은 해드릴 수 없습니다
무슨 자켓이요?	그냥 이런 거요 이런 자켓
핑크 골드에요?	핑크 골드요. 한 줄짜리 기본적인 것을 찾으시면 이런 스타일도 좋아요
이 제품은 얼마예요?	그 제품은 십 칠만 원이에요
이 제품은 약이에요?	의약품은 아니고 보조식품으로 철분 강화에 좋은 제품입니다
패딩인데 모자 부분이 토끼털이면 세탁 비용이 어떻게 돼요?	패딩을 가져와 보셔야 정확한 금액을 알 수 있습니다
맥주 한 박스요? 몇 개 들었는 거요?	20병입니다
네, 찾으시는 색깔이 있으신가요?	검은 색 후드티를 찾고 있습니다.
네 주소가 어떻게 되시나요?	비산동 삼호아파트 3동 1108호입니다
찰보리빵이에요?	찰보리빵은 찰보리하고 천연 효모가 들어가요
생각보다 알러지반응이 안나오는것같은데요?	고객님 알러지가 다행히 나오지 않아서 이쁘게 착용간으하실것같아요
할인되는 제품인가요?	지금 전품목 세일 중입니다
몇 명 정도 들어갈 수 있어요?	8분 10분 들어갈 수 있습니다
가방 좀 보려고 왔는데요	요새는 이런 블랙컬러로 된 가죽 크로스백이 유행이에요
쿠폰 10개 다 모았는데 사용 가능할까요?	쿠폰은 아메리카노만 사용 가능하세요
시티뷰로 예약 해주실래요?	15만 3천 원이에요
라면 하나 주문할게요	주문 버튼 눌러주세요
주문은 가능할까요?	품절이에요
조각 케이크 포장해갈 수 있어요?	조각 케이크 포장 가능합니다
몇 시까지 퇴실해야 하나요?	오전 11시가 퇴실 시간이에요
음료수 좀 주세요	서비스 음료 가져 다 드리겠습니다
그러면 콤비네이션피자 라지사이즈하고 콜라 큰거로 가져다주세요	알겠습니다
가격은 어떻게 하나요?	가격은 300만원입니다
여기는 가방 브랜드가 뭐예요?	로엠걸즈예요
정장에 신어도 괜찮을까요	이 신발은 캐쥬얼이나 정장 다 잘 어울려요
물은 셀프인가요?	물은 셀프입니다
치즈돈가스랑 메밀국수 세트 가격이 얼마죠?	8000원입니다.
카봇 캐릭터가 그려진 가방이 요즘 잘 나가요	신학기 세일 해서 5만9천원 입니다
일반 커피하고 비엔나 커피랑 뭐가 달라요?	원두가 달라서 비엔나 커피가 조금 더 부드럽습니다
요거 버클 달린 것은 옛날부터 나왔던 디자인이네 그쵸?	이런 스타일로 많이 나오죠
이거는 회색밖에 없어요?	자주색과 흰색 있어요
봉투에 넣어드릴까요?	봉투에 넣어주시면 좋지요
지금 자리 있나요?	무인결제기 통해서 확인해보시는 게 빠르실 거예요
바비큐장도 있나요?	바비큐장 이용하시려면 추가 요금 있어요
일회용 양치 도구도 하나 더 주실 수 있나요?	1회용 세면도구는 1500원에 구매하셔야 해요
회원가는 따로 있나요?	회원가는 700원입니다
이 백설기는 안에 건포도 같은 게 들어가 있나요?	저희 가게 백설기는 다 건포도가 들어있어요
계산은 먼저 하나요?	먼저 해주시면 감사하겠습니다
봉투 필요하세요?	괜찮습니다
돈가스 맛있어요?	맛있어요
주차 할 공간은 있나요?	밖에 보시면 주차타워가 있습니다
구로역 말고 신도림역에서 픽업은 안 되나요?	신도림역에서는 픽업이 되지 않아요
카카오페이 가능한가요?	카카오페이는 현재 안 쓰고 있어요
비상구는 어느쪽에 있어요?	끝에 두 군데 있고 출입구 옆에 한 군데 이렇게 있어요
체크아웃 도와주실래요?	여기 계산서 드릴게요
모바일 쿠폰으로 결제할 수 있어요?	가능해요
이건 어떠세요?	좋네요. 얼마에요?
카드 돼요?	카드 결제 가능합니다
참기름 옆에 좀 더 진한 거는 국산이에요?	다 수입산이에요
모닝콜 서비스는 가능한가요?	미리 말씀해주시면 모닝콜 서비스 해드려요
바나나 상처 있는 거 말고 깨끗한 거로 주세요.	상처없는 깨끗한 걸로 드릴게요.
크림 좀 보여주시겠어요?	이쪽이 수분 크림이고, 이건 영양 크림이에요.
재료가 뭐뭐 들어가요?	이 떡에는 소금하고 쌀만 들어가요
식사 안 하고 먹어도 되나요?	위에 부담이 갈 수 있으니까 식사하시고 드시는 게 좋아요
여기 생긴지 얼마나 됐어요?	두달 정도 됐어요
립밤은 어느 쪽에 있어요?	립밤은 안쪽, 여기 있어요
좀 밝은 색은 없을까요?	여기 아이보리색으로도 있어요
이 옷은 얼마쯤 해요?	그 옷은 이만 사천 원이에요
정장 좀 보러 왔는데요	그럼 몇 가지 추천해드리겠습니다
이 가죽 좋네요 송아지 가죽이예요?	소가죽이에요 천년 소가죽
텀블러 같은 거 팔아요?	지금은 텀블러 종류를 팔지 않습니다
그 중에서 제일 비싼걸로 주문부탁드려요	예약시간에 맞춰 준비해드릴게요
메뉴 나와있는 스티커 하나만 주세요	여기 전단지요
저녁에는 몇 시까지 하시는데예?	9시 20분 되면 문 닫아요
이건 요지예요?	맞아요
그럼 바르는 소스는 따로 없는거에요?	저희 바르는 소스는 따로 없고 크림치즈를 이렇게 드려요
요즘에꺼는 알러지 많은가봐요?	알레르기 안 나요 알레르기 방지 제품이에요
염색 얼마나 걸리나요?	염색하고, 매니큐어 하는거는 한 시간 반 정도 잡으면 됩니다
버들리안 같은 경우 1개월에 16만 원을 지급을 해야지만 사용할 수 있고, 1일권은 없나요?	10회권이랑 야간권 있습니다
그럼 빨래 한 판 돌리는데 팔천 오백 원 정도 들겠네요	최소 8000원에서 조금 더하시면 9000원까지 할 수 있는데 큰거 쓰시면 건조는 세탁물에 따라서 동전을 더 넣으셔서 추가 하셔도 되구요
이거 가죽은 아니죠?	아니에요
바지는 어딨나요?	정장바지는 이쪽, 캐주얼은 바깥에 있어요
간장 게장 맛좀 봐도 되나요?	여기 드셔보세요
8층 가장 끝 객실이 조용한데 괜찮으신가요?	그럼 계산 먼저 해드릴게요
침대는 한 개만 있으면 되시는 거죠?	일반실 하시면 될 것 같고 토요일은 주말 요금이라서 만 원 정도 더 비싸요
재고 있는지 한번 알아봐드릴게요	감사합니다
입어볼게요	입어보세요
멸치볶음 종류는 두 가지에요?	2가지에요
흡연실에 앉고 싶은데요	흡연실은 지금 자리가 없어요
그럼 이따 먹어야겠네요?	3000원입니다
음료는 커피로 바꿀 수 있나요?	200원 추가입니다
회원가입을 해야만 이용이 가능한가요?	비회원으로 이용 가능하세요
샌드위치와 파이 종류가 있는데 준비해드릴까요?	샌드위치 여섯 개 준비해주세요
대대 한 시간 사용할 수 있나요?	사용하실 수 있습니다
그래도 맛은 있는 거죠?	그럼요. 맛있어요.
자극적이지 않은 제품으로 추천해주실 수 있나요?	이 제품이 가장 자극적이지 않아요
영업을 몇시에서 몇시까지 하세요?	영업은 12시부터 12시까지해요
