이거 230 있는데 어떠세요?	제 스타일이 아니어 가지고
C컬 파마 하려고 하는데요.	2시간 정도 걸릴 것 같네요.
여기도 쿠폰제 같은건 해요?	쿠폰제는 안하고 있어요
얼마예요?	48만 원 정도요
이거는 소재가 뭔데요?	솜이예요
이름이 뭐라고예?	슬립온이요
증세가 어떻게 되세요	기침은 하지 않는데 열이 계속 나고 으슬으슬 추워요
여기는 아침 몇 시부터?	아침 8시 30분부터 합니다
음 기장은 이게 더 기네요 그죠?	크게 입는 옷이구요 프리사이즈로 나왔어요
그럼 18k라는 말은 그럼 퍼센트로 따지면은	75프로요
아침이랑 저녁이랑 상관없이?	임페타민은 아침에 드시는 게 더 좋습니다
고무줄 같은거는 없어요?	그런 거는 없어요
네 연령대는 어떻게 되세요?	30대 후반이에요
여기 넣어 놓고 나서 여기 대기하고 있어야 돼요?	대기하셔도 되고 왔다갔다 하셔도 되고 저한테 천 원 주고 맡겨놓고 가셔도 돼요
복수는 안 차있구요?	그런데 아무거나 먹으면 안된다고 하거든요
귀걸이는 얼마 정도 해요?	귀걸이 가격에 20프로 할인해요
많이 비싸네	보통 20만 원 이하 신발은 없어요
굽 높이 이거는 3cm인가요?	기본 굽 4cm예요
이거는 굽이 몇 센티예요? 한 4 센티인가?	둘 다 똑같습니다.
높은 거는 안 신으세요?	제가 높은 거는 안 신어서
지금 파마할 수 있나요?	1시간 대기하셔야 해요
C실이라고 되어 있는데도 공부하는 곳이에요?	노트북을 쓰면 시끄러우니까 C실에서 하실 수 있으세요
여기 마스크는 얼마예요?	5천 원요
근데 색상이 이게 더 마음에 드는데?	그러면 색깔 이걸로 한번 찾아봐드릴게요
귀걸이까지 세트로 얼마인가요?	세트로 59000원입니다
음 체격이 어떠세요?	구십오 백은 해야 되겠죠 어른들 안에 뭐 입고 해야되니까
남자 옷은 어느 쪽에 있나요?	이쪽 편에 있습니다.
사이즈 삼십팔이 입을만한 옷은 뭐가 있어요?	마땅한 게 없네요
염색하는데 얼마나 걸려요?	대략 한 시간 걸립니다
학생 책가방 있어예?	보시면 기본적으로 저희한텐 이런 제품들이 있어요
얼마에요?	3천 원이요
가방은 어떤게 잘팔리나요?	크로스백이 제일 잘 팔려요
목걸이 길이 조절 되나요?	조절해드립니다.
사이즈는 몇까지 나오나요?	77사이즈까지 나옵니다
그럼 이 옷으로 구매할 건데 혹시 선물포장도 가능한가요?	1000원 추가금 내시면 선물포장도 가능합니다
이거 포장해주세요	포장해드릴게요
눈썹라이너 있어요?	이 눈썹라이너가 훨씬 더 좋아요
명절에도 하죠?	토요일에도 해요
요 줄문의 제품은 얼마예요?	이 제품은 이만 이천 원이에요
우리 아저씨 매일 설사를 해서 그런데 뭐가 좋나요	실리벨이 좋습니다
가격이 어떻게 하는데요?	가격표에서 20%까지 할인 해드려요
그걸로 주세요	약은 하루에 세 번 드시면 됩니다
천이 조금 빳빳한 거 같네요?	조금 튼튼하게 나온 거예요
발 사이즈가 어떻게 되시나요?	275입니다
이거 말고 평소에 잘 할 수 있는 거 없을까요?	아 그럼 이 제품이 데일리로 하기에 너무 좋아요
숱 치는 비용 얼마 들어요?	고객님 기장은 육만 원이면 돼요
이거는 얼마인가요?	이거는 지금 세일해서 만 원씩 합니다
부츠 하나 사려고 하는데요	재질은 가죽이랑 스웨이드 두 종류 있습니다
이 바지 세일 언제까지 하나요?	이번 달 말일까지 세일입니다
자리마다는요?	준비되어 있지 않아서 없어요
이거는 가격이 어떻게 해요?	이거는 2만 원이요
요 가방은 수납도 많이 되죠?	이 제품도 수납이 많이 돼요
그런데 지금 주신 이거는 그냥 렌즈 안 낀 상태에서 눈에 넣어도 상관없는 거죠?	상관없어요
여긴 무릎 아픈 데 쓰는 영양제는 없어요?	있긴 한데 아까 말한 성분이랑은 차이가 있어요
키즈 사이즈도 나오나요?	아니요, 키즈 사이즈는 없습니다.
이거 브랜드가 빌리브입니까?	맞습니다
몇 번을 해야 효과 보죠?	5회, 10회 정도 하시면 됩니다.
향이 없는 다른 거는?	향이 없는, 요 라인에는 스킨하고 로션인데 세럼 에멀전이라고 로션 안에 에센스 성분이 같이 들어가 있어 에센스처럼 사용하시면 돼요
약간 키높이 스타일로 발 커 보이는 형태가 유행인데 어떠세요?	모양은 이쪽이 스니커즈 라인이 나은데 애도 높은 거 싫어하고
주차는 어디 대요?	주차는 8시 이후에는 요 앞에 하면 돼요
물약으로 말고 알약으로 주실 수 있나요	변경해드릴게요
지금 파마하면 6시까지 나오나요?	시간 충분해요
그럼 다른 분께 자를게요	조금만 기다려 주세요
네 선물하실껀가요?	여자친구분이 참 좋아하시겠어요
먹으면 뼈에 괜찮겠죠?	비타민 D도 충분히 들어 있어서 뼈에 좋습니다
피부 타입이 어떻게 되시나요?	제 피부는 건성이에요
그러면 로즈골드로 같은 사이즈 한 번 껴볼게요	여기있습니다
네, 몇 개 필요하세요?	3개 주세요.
이 옷 소재는 어떻게 되나요?	이 옷 소재는 면이에요
이월 상품은 어디있나요?	오른쪽 코너에 있습니다.
이런거는 할인하는 거예요?	할인하는데 사이즈가 많지는 않아요
여자 옷으로는 이쁘고 큰 사이즈가 없죠?	바람막이 겸 큰 제품 있어요
헤나염색 하는 건?	헤나는 밝은 톤은 없어요
트러블 기능성이 많이 나오지 않나요?	트러블 제품이 판매가 잘 안 돼요
가격은 얼마 정도 되나요?	어깨까지 기장이니 총 30만 원 정도 됩니다
이 슬리퍼는 얼마에요?	이거는 22만원이에요
양복 바지 허리 늘리는 건 얼마에요?	바지 수선 가격은 오천 원입니다
그러면은 견본이 없는?	지금은 없어요
네, 면 티는 드라이 맡겨도 면 세탁 하지요?	세탁라벨에 적혀있는 데로 세탁합니다
다른 원단을 대면요?	정확한 금액을 말씀드리기는 어렵지만, 바느질 수선 방법 보다 비쌉니다
사장님 양복 어깨까지 줄이려는데 얼마쯤 해요?	수선 정도에 따라 다르지만, 수선 비용은 팔만 원 정도로 예상됩니다
밝은 색으로 탈색하면 금갈색처럼 되나요?	검은 머리는 책에 나오는 89번 색 정도 나오세요
이 디자인은 어떠신가요?	약간 동그란 디자인을 찾고 있어요
어떤 클렌징 제품이 제일 잘나가나요?	오일은 이 제품이고 워터는 이 제품이 요즘 잘 나가요
정장용 백인 가요?	요즘은 캐주얼하게도 데일리 백으로 많이 메요
사이즈 얼마 신으세요?	삼십오예
색상은 이거 말고 다른 것도 있어요?	검정이 날씬해 보이고 제일 나아요
이게 35예요?	맞아요
이거는 가격 어떻게 돼요?	이게 11만 8천 원짜리인데 할인 20% 하면 8만 2600원이고 회원 가입하시면 만 원이 빠져서 7만 2600원이에요
선물용 포장 가능한가요?	포장 시 천원 추가 금액이 있어요
바지통 줄이는 것도 할 수 있나요?	바지통 수선도 가능합니다
지금 제 모발도 많이 약하죠?	모발이 약한 편입니다
운전을 해야 돼서 졸리지 않는 약으로 주세요	졸리지 않는 약으로 드릴게요
사이즈 얼마 신으십니까?	35요
따로 더 필요한 건 없으신가요?	커트와 염색이면 충분합니다.
사이즈는 어떻게 되나요?	프리사이즈입니다
포인트 적립 가능한가요	포인트 적립해드릴게요
굽이 높은거 같은데 얼마나 되나요?	7센티 입니다
수선 맡기면 며칠 걸려요?	수선은 삼 일정도면 됩니다
티트리 오일 이건 뭐예요?	그건 토너 스킨 전용인데 화장솜으로 닦아내면 로션 단계가 따로 없어요
두 가지 다 신어봐도 되나요?	준비해드릴게요
염색하는데 몇시간 정도 걸려요?	한시간 정도는 잡으셔야해요
사이즈는 백오 있나요?	105호는 이거 보온용 하나 남아있어요
이 제품 이름이 뭐예요?	이 제품 이름은, 고세 크리이다예요
한 몇 살까지 쓸 수 있을까요?	초등학교 2학년 때까지도 쓸 수 있어요
그럼 색상별로 하나씩 주세요	알겠습니다
몸에 나쁘지 않은 진통제로 하나 주세요	진통제는 한 번에 한 알씩 하루에 세 번까지 드시면 돼요
문화상품권 같은 거로도 결제가 되나요?	문화상품권으로는 결제 불가능합니다
이 신발 얼만데요?	이 신발은 79000원이에요
입어봐도 되나요?	탈의실 저쪽입니다
청바지로 사려고 합니다	이쪽에 있으니 입어보세요
라지 사이즈를 입어보고 싶은데 디피가 안 되어있습니다	오른쪽 벽에 걸려있던 옷이라면 그 사이즈가 전부입니다
이거는 세일해서 얼마인데요?	2만 5천 원이요
길이를 자르는 데만 사만 원이죠?	길이 수선은 사만 원입니다
그럼 이런 디자인은 어떠세요?	마음에 들어요
이 신발 맞추면 얼마에요?	그 신발은 맞추셔도 지금 가져가는 가격이랑 똑같아요.
아 이옆에꺼는요	소가죽보다 양가죽이 부드럽고 가볍습니다
이런걸 플랫슈즈라 그러나?	플랫슈즈까지는 아니고 단화라고 하지요
끈이 체인이 없는 건 없어요? 체인이 많이 무겁더라고요	저희 제품은 안 무거운데 들어보세요
먹는 방법은 어떻게 돼요?	임페타민은 하루에 한 번 드시면 됩니다
이 구두는 힐 높이가 얼마나 되나요?	약 5 cm 될 거에요
이거는 얼마예요?	이쪽이 16만 원 저쪽은 15만 원입니다
옛날에 쓰던 참빗도 있네요?	참빗 많이 나가요
이건 코르덴으로 나왔는 거는 겨울에 많이 들었겠다 그죠?	겨울에 쓰는 거죠
글루코사민하고 콘드로이틴 같이 있는 약이 관절에 좋은 거 맞죠?	글루코사민하고 콘드로이틴 같이 있는 약이 관절 영양에 좋죠
얼마인가요?	1만 3천 원입니다
이런 거는 얼마 공단천은?	4만 2천 원이요
이건 어떠세요? 고급스럽죠?	휴대폰하고 지갑밖에 안 들어갈 거 같은데
검은색 말고 다른 색상은 없나요?	현재는 검은색 밖에 남지 않았습니다
스킨과 로션이 같이 들어있는 제품인가요?	올인원 제품으로 한 번에 스킨과 로션을 바를 수 있죠
도금은 아니죠?	14k 금이에요
다른 건 필요하신 거 없으세요?	백화점 카드 드릴테니 5% 할인해 주세요
난방은 히터로 하시나요?	열람실에 개별로 배치되어 있습니다
뒷굽이 3cm 정도 되는 낮은 거 있나요?	이게 3cm입니다
실내화 남자 거 저게 제일 큰 거예요?	이게 제일 큰 거예요
크림 사려고 하는데요	손등에 테스트해 드릴게요
이거는 좀 얇은 거 같다 그죠?	여름 전용 신발이거든요
정장 안쪽에 여분이 있나요?	여분이 조금씩 들어가 있어요
가격은 얼마에요?	삼십만 구천 원입니다
다른 컬러는 없어요?	이 제품은 블랙밖에 없어요
신발 모양 이거 괜찮지 않으세요?	이 신발이 제일 신상이고 잘 나가고 있어요
이거 나가면 다시 들어오나요?	계속 생산 중인 제품이에요
잠깐 신어봐도 돼요?	편하게 신어보시면 됩니다
한쪽만 좀 신어볼게요	신어보세요
여기 오래됐어요?	20년 됐어요
피부에 바를 건데 스킨 1통에 얼마인가요?	스킨, 1통에 2만 원인데 지금 10퍼센트 세일해서 1만 8천 원에 판매하고 있어요
OO약 이건가요?	OO약 먹어 봤는데 새로 나온 게 있대요
네 마스크도 있나요?	있습니다
이 제품 충전재는 뭐예요?	그 제품 충전재가 거위털이요
검은 로퍼요?	아뇨 그 옆에 흰 슬리퍼요
이번에 새로 나온 파운데이션 볼 수 있나요?	이쪽으로 오시면 테스트 가능하세요
이거는 가격이 얼마예요?	16000원인데 몇 천 원 빼드릴게요
철분제 먹으면 부작용이 있나요?	가장 기본적인 영양제는 비타민 비 고함량 들어간 거고 아니면 조아바이톤이라고 짜먹는 영양제도 괜찮아요
컨버스 검은색 있나요?	죄송합니다. 검은색은 260밖에 없어요
요 신발은 얼마에요?	이 신발도 10만원이에요
남자 구두도 수공하는 기간은 똑같고예?	똑같아요
수선까지 같이 해주나요?	수선은 간단한 것만 같이 해드려요
요즘 금 시세는 얼마나해요?	18만 8천 원이요
이 옷 얼마죠?	그 옷 삼만 육천 원이요
청바지도 세일해요?	다 세일이에요
창있는 모자에 털 달린 건 없는가?	다 나갔어요
뭐하실려고요?	저고리가 뜯어져가꼬
세일해서?	세일 안 해요
신상품이라서 할인 안 되나요?	맞아요
네 가격은 어떻게 되는지요	그럼 부탁합니다
어떤 스킨로션이 잘 나가요?	이 올인원 제품이 인기 많아요
학생도 똑같은가요?	학생은 커트 만 원이에요
이 제품으로 주세요	결제 도와드릴게요
따뜻하긴 이 옷이 더 따뜻하겠네요	둘 다 따뜻해요
적립되는 카드나 할인되는 카드가 있나요?	카드마다 다른데요 매장 자체적으로 5%까지 해드려요
어디서 나온거에요?	미국수입 제품입니다
그냥 검은 염색이다, 그죠?	검은색도 하고 보통은 갈색도 하고, 그 정도만 하고요
이 티, 다른 색상은 있어요?	그 티, 색상은 하나 남았어요
차는 이 부근에 댈 덴 없어요?	뒤 쪽 골목 쪽에 대셔야 해요
네 찾으시는 종류가 있으신가요?	심플한 가방이였으면 좋겠어요
옷 수선 거의 다 돼요?	옷 수선은 다 취급합니다
저 빨간색 천으로 돼있는 가방은 애들 소풍 가방으로 많이 쓰나요?	저 가방은 보조가방으로 써요
체크무늬 제품은 얼마예요?	14000원이에요
원피스 신상 나왔어요?	5벌 신상으로 나왔어요
할인 중인 제품들이 있나요?	오른쪽에 있습니다.
끈매는 건 있어요?	안에 있어요
발에 편한 소재인가요?	신축성이 굉장히 좋은 소재여서 편하실 거예요
이거는 세무?	세무인데 그거는 딱딱해서 발이 좀 아플 수 있어요
이건 무슨 오일이에요? 어디에다 바르는 거죠?	코코넛오일이구요, 바디나 페이스 다 바르시는 거예요
이건 버버리다 그죠?	버버리예요
가방이 너무 예쁜 게 있어갖고 마감하셨어예?	손님이 없을 거 같아서 정리하고 있었어요
혹시 카탈로그 보여주실 수 있나요?	여기에 보면 이런 스타일이 손님께 잘 어울릴 거예요
이 제품도 가격대가 비슷한가요?	그 제품은 작년 제품이라 십만 원 정도 저렴하게 판매하고 있습니다
다른 제품은 어떤 브랜드가 있나요?	구찌는 전부 품절이고 남은건 샤넬이랑 톰브라운 밖에 없네요
색깔은 어떤거 찾으시는데요?	이런 신발도 많이 찾으세요
신상 다들어온건 아니죠?	이런 종류는 다들어왔죠
아 작년 봄 옷인가보네요	매장에 몇 개 안남았습니다
네 포장해 드릴까요?	그냥 주세요
사이즈가 어떻게 되세요?	230이요
바지 찾으세요?	상의를 찾고 있어요
언제 여나요?	아침 열 시요
사이즈는 프리사이즈로 나오는 거예요?	이 정도 하면 될 거예요
헤나 염색해요?	헤나 염색은 하지 않습니다
드라이클리닝 해야하나요?	이거는 빠시면 안 돼요
카드같은 거 다 되죠?	가능합니다
케이스가 어떤 거였어요?	이거 같은데, 이번에 리뉴얼이 되면서 조금 바뀌었어요
많이 심하세요?	조금요
가죽인가요?	전체 소가죽이라서 좋아요
기름이 많으세요?	많지는 않은데 매트한 걸 좋아한다고 해야 하나
35사이즈 있어요?	30하면 되죠
제 피부 타입은 건성이에요	건성에는 이 수분 크림을 추천해요
이 제품 몇프로 할인되나요?	30프로할인중입니다
죄송하지만 카드 결제 가능한가요?	가능합니다
이거는 할인 좀 더 하는가요?	이거 할인받으시면 134000원이에요
머리가 아프진 않으세요?	머리도 깨질 듯이 아파요
이런 롱패딩 드라이 얼마에요	13000원입니다
신고 벗기에는 이런 신발이 편해요? 아님 저런게 편해요?	이 신발이 더 편해요
가격은 얼마예요?	지금 이 상품 같은 경우는 세일하면 25만 4400원이요
코는 막히지 않나요?	코는 괜찮은 것 같아요
그 가방은 얼마예요?	이 가방은 오만 팔천 원이에요
타이레놀 얼마인가요?	3천 원입니다
이거는 얼마예요?	이거는 십삼만 오천이백 원 이거는 십사만 오천이백 원이에요
이 파운데이션 2호 있나요?	죄송하지만 2호는 품절되었어요
몇 일간 걸리죠?	삼 일에서 오 일 걸려요
생각해둔 색상이 따로 있나요?	한번 보려고요
커트는 이 사진처럼 해주시고 염색은 노란색으로 해주세요	알겠습니다
저거는 얼마죠?	십육만 원이요
모발만 할 건데, 가격은 얼마예요?	클리닉 비용은 삼만 원입니다
이거는 도금인가요?	도금입니다
상담 예약 가능한가요?	가능합니다
오전에 하려고 하는데 영업시간은요?	열시 반부터 여덟시 반인데 원하는 시간에 하시려면 오시기 전에 전화 한번 주고 오세요
세팅이 머리하면 얼마 정도 해요?	세팅 파마만 하면 6만 원 정도 생각하시면 되세요
이건 수박색?	수박색도 괜찮아요
냉장보관 안 하고 상온인가요?	실온보관 하시면 돼요
고등학생용 가방을 찾고 있어요	이 앞에 줄 보시면 돼요
그러면 소재가 패딩이에요?	패딩이에요
이 색은 어떠세요?	카키색은 너무 진해서 저한테 안 맞더라고요
광범위합니다 뒤로 메는 거 찾으시는지요?	드는 거
혹시 수분크림도 같이 추천해주시겠어요?	수분크림은 빌리프 제품이 좋아요
천으로 된 가방도 세탁이 안되나요?	손잡이까지 천으로 되어있으면 괜찮은데 가죽이나 다른 원단이 들어가면 안돼요
신발은 검은색만 신으세요?	꼭 그렇지는 않은데
이거는 워킹화 라인에서 잘 나가요	너무 요란해서 안되겠어요
선물용으로 비타민을 구입하려고 하는데 중장년층에게 좋은 비타민 있나요?	여기 있습니다
아이라이너는 이 진열장 오른쪽 끝에 있을 텐데 찾으시는 제품이 없나요?	갈색 제품을 찾고 있는데 보이지 않네요
반지가 사이즈가 안맞는데 환불 가능한가요?	환불은 안되고 교환은 가능합니다.
스킨, 로션 가격은 얼마부터 얼마까지 있어요?	스킨, 로션은 낱개로 만원짜리부터 있어요
촉촉한 게 낫지요?	촉촉한 게 좋아요
색깔 변하고 이런 거는 없나요?	옷 위에 하시는 거라 색깔이 빨리 변하거나 그런 거는 없어요
제가 지금 입은 롱패딩은 물 세탁 할 수 있는거에요?	택 보니까 물 세탁 가능하시네요
그거는 백팩이에요?	백팩겸 들고 다닐 수 있어요
이거는 운동복이에요?	그냥 평상시에 입어도 돼요
일요일도 하세요?	아뇨 닫아요
비타민 음료수도 같이 주세요.	여기 있습니다.
한번 입어봐도 될까요?	탈의실에서 한번 입어보세요
샴푸도 팔아요?	케라샴푸팔고 있어요
휴무일은 언제인가요?	명절 당일만 빼고는 모두 다 영업합니다
식당도 따로 있나요?	식당도 운영하고 있습니다
박카스 한 병에 얼마에요?	1000원입니다
에나멜은 금방까지더라고	이것만 주구장창 신으면 그렇게 되죠
편하죠?	발은 진짜 편한데 색깔이 마음에 안 든다.
할인 된 가격은 이 제품 뿐인가요?	반값은 아니지만, 코트도 할인돼요.
어떤 행사요?	투 플러스 원 행사예요
가격은 얼마예요?	카드는 28만 원 현금은 25만 원입니다
파운데이션 바를 때 좋은 소도구도 추천해주세요	스펀지나 브러시 추천드려요
우리 애가 곧 결혼을 앞둬가지고 얼굴 관리받는 거 한 얼마쯤 하는가? 피부관리하고	얼굴이 일반관리하시면 기본이 사만원짜리 있어요
이 털 빠지고 그러진 않나요?	털 빠짐 조금 있어요
약 종류가 두 가지인가요?	Q약이 유기 체질에는 직접적으로 흡수율은 떨어져도 빈혈에 효과가 있습니다
얼마씩 해요?	가격은 칠만 원대부터고, 짧은 머리는 오만 원입니다
롱패딩 다 팔렸나요?	아직 남아있어요
그럼 11시로 예약해주세요	예약해드리고 오시기 전에 연락 한번만 주세요
아 좀 꽉 끼는데 240 신어볼께요	잠시만요
이런 것도 오십 프로 하나요?	이거는 이십 프로 할인해서 사만 구천칠백이십 원입니다
이건 가격이 어떻게 돼요?	보통 20만 원대 초반이예요
어떤 옷 보러 오셨어요?	후드티하고 슬랙스요
요 밤색옷은 얼마예요?	그 옷 15만원인데, 세일해서 13만원이에요
바지 색상은 한 가지인가요?	블랙과 아이보리 색상이 있어요
받고 바로 출근해도 돼요?	세수는 한참 있다가 하시는 게 좋아요. 머리도 금방 감지 말라고 하잖아요
이 제품이랑 비슷한 종류로는 없어요?	이젠 비슷한 제품도 없어요
사이즈는 어떻게 되나요?	220부터 260까지 있어요
이런 향수 말곤 어떤 향수가 괜찮아요?	이 향수들 중에서 그 향수가 가장 나아요
지금 바로 할 수 있을까요?	샴푸부터 해드리겠습니다
혹시 여기 농구화도 파나요?	팔고 있습니다
그럼 최대한 비슷하게 가능한가요?	열펌으로 하시면 비슷할 것 같네요
이건 뒤에 거랑 세트인가요?	다 세트예요 가방 하나만 안 팔아요
한 번만 먹으면 될까요?	한 세트로 한번 복용 후 증상을 봐주세요
아까 옷보다 이 긴 옷이 더 사이즈가 클까요?	그 옷이 55사이즈라서 더 커요
거울 한 번 비춰 봐볼게요	안쪽에 거울 있어요
향 들어있는게 나은가요?	향있으면 하고나면 개운할 수도 있죠
매일 사용해도 괜찮은 거예요?	매일 저녁 샤워 시 사용하시면 돼요
겨울 옷은 없나요?	지금 다 빠졌어요
이불 하나 맡기는 건 얼마 정도 해요?	만 삼천 원입니다
요거 향 좀 한 번만	그것도 향 아예 없어요
이 셔츠 아이보리색 품절이에요?	죄송해요
일반실 그냥 쉬는 데죠?	공부 하는 데예요
아 그리고 슬랙스는 어느 쪽에 있나요?	슬랙스는 현재 기둥 옆쪽에 있습니다
이 가방 다른 색깔로 남는 거 있나요?	죄송합니다만 이월 상품이라 재고가 이거 하나뿐이네요
스킨이 12만원?	스킨이 5만7천원 로션이 6만3천원 합쳐서 12만원이에요
요 니트 많이 입으면 늘어나죠?	조금 늘어나죠 니트는 어쩔 수 없어요
약은 식후에 복용하는거죠?	식후에 하루 두 번만 드세요
카멜 색깔 저 가방은 얼마정도에요?	저거는 칠만 원이에요
더 비싼 선불권도 있어요?	더 비싼 선불권도 있습니다
오늘 셔츠 세탁 맡기면 언제쯤 찾을 수 있나요?	셔츠 세탁은 보통 다음날 정도면 찾으실 수 있어요
포인트 있으신가요?	포인트 없어요
밝은 톤으로 하고 싶은데 색상표 좀 보여주시겠어요?	여기 참고하시면 돼요
어떤 느낌의 액세서리를 찾으시나요?	작으면서도 화려하지 않은 느낌이면 좋겠어요
요 티는 가격이 얼마예요?	이 티는 삼만 이천 원이고 현금결제하시면 이만 팔천 원까지 할인해 드려요
이 제품은 어떻게 리뉴얼됐어요?	보습 효과도 있고 이전보다 자극이 덜해요
자연화장품도 취급해요?	합성첨가물이 없는 비타민이고요 화학성분이 없는 화장품이어서 예민하신 고객님께 좋아요
정장 투피스 줄이는거 되나요?	정장 수선 가능합니다
소재가 뭐예요?	폴리에스테르 스타일로 나온 거예요
쉬는 날이 언제에요?	수요일이 휴무일입니다
색깔은 이거 하나?	하나예요
배 어느 쪽이 아파요?	약 드릴게요
이거 염색하는 데는 얼마입니까?	뿌리 염색은 기본 6만 원입니다
지인 분께 선물하려고 하는데 크림 종류로 탄력크림 종류로 있으면 좀 보여주세요	탄력크림은 유세린 거 여러 종류 있어요
리필은 얼마예요?	리필은 대부분 2천원 아니면 3천원이에요
여기 주차장은 저 밑에 저기죠?	저기나 여기 위에 주차하셔도 돼요
여기는 슬리퍼 종류가 이게 다예요?	지금은 여기 있는게 다고 여름에 더 들어올거예요
13만원 현금으로 내도 할인 안 되나요?	할인 가능합니다
위에 마이 하나 걸치고 입으면 예쁘겠죠?	자켓 하나 걸치고 입으면 이쁘겠네요
치마 수선은 얼마에요?	수선 정도에 따라 다르지만, 수선 비용은 이천 원 정도로 예상됩니다
조금 전에 그거는 얼마예요?	이거는 삼만 오천 원이요
얇은 블라우스도 수선 되나요?	얇은 소재 블라우스도 수선 가능합니다
현금으로 결제하면 세일 되나요?	그 가격이 현금가예요
아침 저녁으로요?	아침 저녁으로 드시면 됩니다
삼성 페이 되나요?	가능합니다
두통약 좀 주시겠어요?	여기 있습니다 식후에 드세요
요런 옷은 얼마예요?	그 옷은 오만 원이에요
까끌까끌하지 않을까?	안 까끌까끌해요
이거 235 제 사이즈인데 한 번 신어볼 수 있어요?	그거 신어보세요
이 상품 할인은 하지 않나요?	신규 가입하시면 20퍼센트 할인 쿠폰 발급해드립니다
차는 가져오면 앞에 주차해도 되나요?	가능하세요
결제해주세요	카드로 결제하시나요?
여기 전부다 소가죽이나 그런 거예요?	소가죽 아니면 양가죽이에요
수퍼맥스는 하루에 두 알씩 먹는건가요?	하루에 네 알씩 드시면 됩니다
시간은 한 얼마나 걸려요?	금방 해요
클렌징 폼을 사려고 하는데 세면이 잘 되는 클렌징 폼이 있나요?	클렌징 폼 여기 있어요
이거 치마 이거 입고 신발은 뭐 신어야 되나?	운동화 부츠 슬립온도 되고 다 괜찮아요
현금으로 하면 몇 프로 할인돼요?	현금으로 하시면 15% 할인됩니다
네 색상은 어느걸로 하시겠어요?	로즈골드로요
틴트 하나에 얼마인가요?	틴트 하나에 4만원이에요
동전 파스가 있나요	죄송하지만 없습니다
염색은 안 하시나요?	뿌리 염색도 같이 해주세요
이 바지는 사이즈 어떻게 되나요?	27사이즈입니다
어른들 메는 백팩 있어요?	백팩 있어요
